"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Dec 23 11:12:09 GMT 2023","Sat Dec 23 11:12:10 GMT 2023","631","","","","PetStoreApiTests","OrderIsSuccessfullyDeleted","OrderIsSuccessfullyDeleted","Verify pet order can be deleted
Verify pet store API
"
"passed","Sat Dec 23 11:12:04 GMT 2023","Sat Dec 23 11:12:35 GMT 2023","30821","","","","AuthenticationTests","UserAuthenticationTest","Verify successful login","Verify login/logout cases for Heroku Web App
"
"passed","Sat Dec 23 11:12:09 GMT 2023","Sat Dec 23 11:12:12 GMT 2023","2381","","","","UserApiTests","UserLogoutTest","UserLogoutTest","Verify user is able to logout
Verify user login controller API
"
"passed","Sat Dec 23 11:12:44 GMT 2023","Sat Dec 23 11:12:47 GMT 2023","2977","","","","NotificationTests","VerifyNotificationMessages","VerifyNotificationMessages","Verify notification messages
Heroku notification messages
"
"passed","Sat Dec 23 11:12:04 GMT 2023","Sat Dec 23 11:12:09 GMT 2023","5124","","","","UserApiTests","UserLoginTest","UserLoginTest","Verify user is able to login
Verify user login controller API
"
"passed","Sat Dec 23 11:12:10 GMT 2023","Sat Dec 23 11:12:34 GMT 2023","24274","","","","CheckboxesTests","VerifyCheckboxesChecking","VerifyCheckboxesChecking","Verify checkboxes are checked
Verify checkbox scenarios for Heroku Web App
"
"passed","Sat Dec 23 11:12:37 GMT 2023","Sat Dec 23 11:12:41 GMT 2023","3534","","","","HoverTests","VerifyProfileTextOnHover","VerifyProfileTextOnHover","Verify all names are correct on hovering over profile images
Verify hovering scenarios on Heroku Web App
"
"passed","Sat Dec 23 11:12:04 GMT 2023","Sat Dec 23 11:12:09 GMT 2023","4908","","","","PetStoreApiTests","OrderIsSuccesfullyPlaced","OrderIsSuccesfullyPlaced","Verify pet order can be placed
Verify pet store API
"
"passed","Sat Dec 23 11:12:10 GMT 2023","Sat Dec 23 11:12:14 GMT 2023","3968","","","","PetsTest","VerifyPetCanBeDeleted","VerifyPetCanBeDeleted","Verify pet can be deleted
Verify pet controller API
"
"passed","Sat Dec 23 11:12:41 GMT 2023","Sat Dec 23 11:12:44 GMT 2023","3111","","","","FramesTests","VerifyNestedFrames","VerifyNestedFrames","Verify text in Nested iFrames
Verify iFrames scenarios on Heroku Web App
"
